date,age_group,hospital_cases
2020-07-05T00:00:00Z,55 to 64,491
2020-07-05T00:00:00Z,65 and older,1792
2020-07-06T00:00:00Z,Under 35,309
2020-07-06T00:00:00Z,35 to 54,713
2020-07-06T00:00:00Z,55 to 64,491
2020-07-06T00:00:00Z,65 and older,1798
2020-07-07T00:00:00Z,Under 35,311
2020-07-07T00:00:00Z,35 to 54,718
2020-07-07T00:00:00Z,55 to 64,495
2020-07-07T00:00:00Z,65 and older,1802
2020-07-08T00:00:00Z,Under 35,311
2020-07-08T00:00:00Z,35 to 54,718
2020-07-08T00:00:00Z,55 to 64,495
2020-07-08T00:00:00Z,65 and older,1802
2020-07-09T00:00:00Z,Under 35,311
2020-07-09T00:00:00Z,35 to 54,720
2020-07-09T00:00:00Z,55 to 64,495
2020-07-09T00:00:00Z,65 and older,1802
2020-07-10T00:00:00Z,Under 35,311
2020-07-10T00:00:00Z,35 to 54,720
2020-07-10T00:00:00Z,55 to 64,495
2020-07-10T00:00:00Z,65 and older,1802
2020-07-11T00:00:00Z,Under 35,311
2020-07-11T00:00:00Z,35 to 54,720
2020-07-11T00:00:00Z,55 to 64,495
2020-07-11T00:00:00Z,65 and older,1802
2020-07-12T00:00:00Z,Under 35,312
2020-07-12T00:00:00Z,35 to 54,720
2020-07-12T00:00:00Z,55 to 64,495
2020-07-12T00:00:00Z,65 and older,1803
2020-07-13T00:00:00Z,Under 35,313
2020-07-13T00:00:00Z,35 to 54,722
2020-07-13T00:00:00Z,55 to 64,496
2020-07-13T00:00:00Z,65 and older,1804
2020-07-14T00:00:00Z,Under 35,313
2020-07-14T00:00:00Z,35 to 54,722
2020-07-14T00:00:00Z,55 to 64,497
2020-07-14T00:00:00Z,65 and older,1806
2020-07-15T00:00:00Z,Under 35,313
2020-07-15T00:00:00Z,35 to 54,722
2020-07-15T00:00:00Z,55 to 64,497
2020-07-15T00:00:00Z,65 and older,1806
2020-07-16T00:00:00Z,Under 35,314
2020-07-16T00:00:00Z,35 to 54,723
2020-07-16T00:00:00Z,55 to 64,497
2020-07-16T00:00:00Z,65 and older,1807
2020-07-17T00:00:00Z,Under 35,314
2020-07-17T00:00:00Z,35 to 54,723
2020-07-17T00:00:00Z,55 to 64,497
2020-07-17T00:00:00Z,65 and older,1807
2020-07-18T00:00:00Z,Under 35,314
2020-07-18T00:00:00Z,35 to 54,723
2020-07-18T00:00:00Z,55 to 64,497
2020-07-18T00:00:00Z,65 and older,1808
2020-07-19T00:00:00Z,Under 35,314
2020-07-19T00:00:00Z,35 to 54,722
2020-07-19T00:00:00Z,55 to 64,497
2020-07-19T00:00:00Z,65 and older,1808
2020-07-20T00:00:00Z,Under 35,313
2020-07-20T00:00:00Z,35 to 54,721
2020-07-20T00:00:00Z,55 to 64,497
2020-07-20T00:00:00Z,65 and older,1808
2020-07-21T00:00:00Z,Under 35,314
2020-07-21T00:00:00Z,35 to 54,721
2020-07-21T00:00:00Z,55 to 64,497
2020-07-21T00:00:00Z,65 and older,1808
2020-07-22T00:00:00Z,Under 35,314
2020-07-22T00:00:00Z,35 to 54,723
2020-07-22T00:00:00Z,55 to 64,497
2020-07-22T00:00:00Z,65 and older,1809
2020-07-23T00:00:00Z,Under 35,314
2020-07-23T00:00:00Z,35 to 54,723
2020-07-23T00:00:00Z,55 to 64,498
2020-07-23T00:00:00Z,65 and older,1809
2020-07-24T00:00:00Z,Under 35,314
2020-07-24T00:00:00Z,35 to 54,723
2020-07-24T00:00:00Z,55 to 64,498
2020-07-24T00:00:00Z,65 and older,1809
2020-07-25T00:00:00Z,Under 35,315
2020-07-25T00:00:00Z,35 to 54,723
2020-07-25T00:00:00Z,55 to 64,498
2020-07-25T00:00:00Z,65 and older,1809
2020-07-26T00:00:00Z,Under 35,315
2020-07-26T00:00:00Z,35 to 54,725
2020-07-26T00:00:00Z,55 to 64,498
2020-07-26T00:00:00Z,65 and older,1810
2020-07-27T00:00:00Z,Under 35,315
2020-07-27T00:00:00Z,35 to 54,725
2020-07-27T00:00:00Z,55 to 64,499
2020-07-27T00:00:00Z,65 and older,1809
2020-07-28T00:00:00Z,Under 35,316
2020-07-28T00:00:00Z,35 to 54,725
2020-07-28T00:00:00Z,55 to 64,499
2020-07-28T00:00:00Z,65 and older,1809
2020-07-29T00:00:00Z,Under 35,317
2020-07-29T00:00:00Z,35 to 54,725
2020-07-29T00:00:00Z,55 to 64,499
2020-07-29T00:00:00Z,65 and older,1810
2020-07-30T00:00:00Z,Under 35,317
2020-07-30T00:00:00Z,35 to 54,725
2020-07-30T00:00:00Z,55 to 64,499
2020-07-30T00:00:00Z,65 and older,1811
2020-07-31T00:00:00Z,Under 35,320
2020-07-31T00:00:00Z,35 to 54,728
2020-07-31T00:00:00Z,55 to 64,499
